platform	external_id	title	price	rating	review_count	sold	commission_rate	source_url	affiliate_link	image_url	purchase_signal	selected_order
mercado-livre	MLB4094802487	Compressor Premium Suspensão A Ar 480c - 300psi	R$ 571,74	5		500	12	https://www.mercadolivre.com.br/compressor-premium-suspensao-a-ar-480c--300psi/up/MLBU3236435813?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4094802487&sid=affiliates	https://meli.la/13842Dn	https://http2.mlstatic.com/D_Q_NP_2X_613586-MLB90313470993_082025-AB.webp	500 vendidos no Mercado Livre	74
mercado-livre	MLB4268179735	Jogo De Ferramentas 169 Peças E Furadeira Parafusadeira 21v	R$ 279,90	4.9		500	12	https://www.mercadolivre.com.br/jogo-de-ferramentas-169-pecas-e-furadeira-parafusadeira-21v/up/MLBU3512424196?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4268179735&sid=affiliates	https://meli.la/1Ui3BqC	https://http2.mlstatic.com/D_Q_NP_2X_936788-MLB112756485768_062026-AB.webp	500 vendidos no Mercado Livre	75
mercado-livre	MLB4311034829	Compressor De Ar Direto Elétrico Pintura 1/2 Hp Bivolt Amarelo 127/220v 60hz	R$ 539,55	4.9		500	12	https://www.mercadolivre.com.br/compressor-de-ar-direto-eletrico-pintura-12-hp-bivolt/up/MLBU3563937603?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4311034829&sid=affiliates	https://meli.la/2ynDkqT	https://http2.mlstatic.com/D_Q_NP_2X_810212-MLB98993018176_112025-AB.webp	500 vendidos no Mercado Livre	76
mercado-livre	MLB6130724098	Furadeira Parafusadeira Sem Fio A Bateria Gpb12vd 12v 3/8 10mm Com Maleta E Acessórios Gradiente	R$ 101,27	4.8		500	12	https://www.mercadolivre.com.br/furadeira-parafusadeira-sem-fio-a-bateria-gpb12vd-12v-38-10mm-com-maleta-e-acessorios-gradiente/p/MLB61763358?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB6130724098&sid=affiliates	https://meli.la/1SfV7Ld	https://http2.mlstatic.com/D_Q_NP_2X_807886-MLA97434822387_112025-AB.webp	500 vendidos no Mercado Livre	77
mercado-livre	MLB6293596640	Kit Martelete Rompedor + Parafusadeira À Bateria 21v Amarelo 110v/220v 50/60hz	R$ 474,90	4.8		500	12	https://www.mercadolivre.com.br/kit-martelete-rompedor--parafusadeira-a-bateria-21v/up/MLBU3814067742?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB6293596640&sid=affiliates	https://meli.la/2gYygUF	https://http2.mlstatic.com/D_Q_NP_2X_639084-MLB110301748780_052026-AB.webp	500 vendidos no Mercado Livre	78
mercado-livre	MLB4050264139	Compressor De Ar Direto 1/2 Hp Bivolt + Kit Pintura Amarelo 127/220v 60hz	R$ 514,73	5		50	12	https://www.mercadolivre.com.br/compressor-de-ar-direto-12-hp-bivolt--kit-pintura/up/MLBU3153850373?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4050264139&sid=affiliates	https://meli.la/28XmxGz	https://http2.mlstatic.com/D_Q_NP_2X_606239-MLB84351896253_052025-AB.webp	50 vendidos no Mercado Livre	79
mercado-livre	MLB4072919145	Maquina Inversora Solda Fusion Arc 170a Bivolt + Acessórios Amarelo 127/220v	R$ 368,50	5		25	12	https://www.mercadolivre.com.br/maquina-inversora-solda-fusion-arc-170a-bivolt--acessorios/up/MLBU3195363186?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4072919145&sid=affiliates	https://meli.la/1rAgG3n	https://http2.mlstatic.com/D_Q_NP_2X_627910-MLB113626013860_072026-AB.webp	25 vendidos no Mercado Livre	80
mercado-livre	MLB6420490020	Lixadeira Esmerilhadeira Profissional 4.1/2 Com Jogo 40 Pçs Amarelo 220v 60hz	R$ 170,99	4.9		100	12	https://www.mercadolivre.com.br/lixadeira-esmerilhadeira-profissional-412-com-jogo-40-pcs/up/MLBU3833504344?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB6420490020&sid=affiliates	https://meli.la/2oZV3nF	https://http2.mlstatic.com/D_Q_NP_2X_822534-MLB112357375030_062026-AB.webp	100 vendidos no Mercado Livre	81
mercado-livre	MLB5908287206	Furadeira Parafusadeira Sem Fio 3/8 Maleta + Kit Ferramentas	R$ 226,10	4.9		100	12	https://www.mercadolivre.com.br/furadeira-parafusadeira-sem-fio-38-maleta--kit-ferramentas/up/MLBU3546087262?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB5908287206&sid=affiliates	https://meli.la/2sQiL8R	https://http2.mlstatic.com/D_Q_NP_2X_743443-MLB96980705310_112025-AB.webp	100 vendidos no Mercado Livre	82
mercado-livre	MLB4560115247	Martelete Perfurador Rompedor 68v Com 2 Baterias Maleta Azul 127/220v 50 Hz/60 Hz	R$ 418,76	4.9		100	12	https://www.mercadolivre.com.br/martelete-perfurador-rompedor-68v-com-2-baterias-maleta/up/MLBU3859498129?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4560115247&sid=affiliates	https://meli.la/1Y9Eeq4	https://http2.mlstatic.com/D_Q_NP_2X_810855-MLB109509515917_032026-AB.webp	100 vendidos no Mercado Livre	83
mercado-livre	MLB4690296193	Mini Esmerilhadeira Lixadeira Angular 12v 660w 2 Baterias Amarelo 110v/220v 50/60hz	R$ 149,90	4.8		100	12	https://www.mercadolivre.com.br/mini-esmerilhadeira-lixadeira-angular-12v-660w-2-baterias/up/MLBU3971065419?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB4690296193&sid=affiliates	https://meli.la/25NoRi7	https://http2.mlstatic.com/D_Q_NP_2X_704792-MLB113725564670_072026-AB.webp	100 vendidos no Mercado Livre	84
mercado-livre	MLB7075902546	Compressor Ar 9l 110v 220v 3400rpm 1000w Profissional Amarelo 220v 60	R$ 689,54	4.8		100	12	https://www.mercadolivre.com.br/compressor-ar-9l-110v-220v-3400rpm-1000w-profissional/up/MLBU4202990842?pdp_filters=deal%3AMLB1578289-1&extra_comm=false&brand_comm=false#polycard_client=affiliates&wid=MLB7075902546&sid=affiliates	https://meli.la/1ztEcaZ	https://http2.mlstatic.com/D_Q_NP_2X_978077-MLB106194380653_012026-AB.webp	100 vendidos no Mercado Livre	85
shopee	22597320196	Politriz e Esmirilhadeira Lixadeira eletrica portatil a bateria	R$ 314,10	5		10	33	https://shopee.com.br/product/411693079/22597320196	https://s.shopee.com.br/2BDXMYk92V	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-lqyxv1culzqz71.webp	10 vendas na Shopee	1
shopee	21699559831	Alicate CAT7 EZ Para Crimpagem de Cabo RJ45 / RJ11/12 profissional FRM-ACN702 EXBOM	R$ 51,75	4.9		40	33	https://shopee.com.br/product/411693079/21699559831	https://s.shopee.com.br/2g9nxUGTc1	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m2wkylj1btn9c6.webp	40 vendas na Shopee	2
shopee	11290569493	Kit Terminal Ilhós Tubular 500 Peças 1,5 2,5 4 6mm Fio Cabo Elétrico Crimpagem	R$ 37,90	4.8		558	33	https://shopee.com.br/product/395222532/11290569493	https://s.shopee.com.br/4LI1wYaWug	https://down-bs-br.img.susercontent.com/e6cd671de5339fa32480462ac4b8bec2.webp	558 vendas na Shopee	3
shopee	21455455470	Mini Parafusadeira sem Fio Recarregável USB com Maleta 49 peças MQL-PFU49A EXBOM	R$ 59,90	4.8		539	33	https://shopee.com.br/product/411693079/21455455470	https://s.shopee.com.br/AKZF5af36t	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-lo8fvivweaaxf8.webp	539 vendas na Shopee	4
