videoNumber,title,sourceZip,videoEntry,catalogProductId,catalogTitle,marketplace,affiliateLink,matchStatus
"2","Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0002/Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático.mp4","shopee-video-0002-aparador-unhas-eletrico-56264093125","Aparador Elétrico 2 em 1 para Unhas Recarregável por USB","Shopee","https://s.shopee.com.br/8KoKG1kjvv","pronto"
"3","mini modelo, De Aço Inoxidável Preto Pulverizador Conjunto Sanitário","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0003/mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário.mp4","shopee-video-0003-ducha-higienica-preta-58256884392","Ducha Higiênica Preta com Válvula Dupla e Mangueira Inox","Shopee","https://s.shopee.com.br/20uGjaegxA","pronto"
"4","Deck de Madeira com Base Plástica (Madeira de Pinus)","VIDEOS 0 - 300-20260730T124444Z-1-001.zip","VIDEOS 0 - 300/VIDEO 0004/Deck de Madeira com Base Plástica (Madeira de Pinus).mp4","shopee-video-0004-deck-madeira-pinus-23516200440","Deck de Madeira de Pinus com Base Plástica","Shopee","https://s.shopee.com.br/1Vy08nzE1H","pronto"
"1914","Escova Elétrica de Limpeza 5 em 1 Sem Fio para Cozinha e Banheiro","","","shopee-video-1914-escova-eletrica-5-em-1-23897609967","Escova Elétrica de Limpeza 5 em 1 Sem Fio","Shopee","https://s.shopee.com.br/1BLUGpd30r","pronto"
