item_id	titulo	preco	vendas	comissao_percentual	avaliacao	url_publica	link_afiliado	imagem
23497440005	Bermuda Short Masculino 2 em 1 Forro Duplo Fitness para Atividades físicas academia BodyGrip	R$ 79,00	284 vendas	36	4.8	https://shopee.com.br/product/1226996627/23497440005	https://s.shopee.com.br/5VTzDWfDdJ	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-mcljhd68z86qd4.webp
21597981758	Garrafa de Água Galão com Alça Squeeze Treino Academia Trabalho Escola 1.8L/1L ENVIO EM 24HORAS	R$ 16,99	4mil+ vendas	24	4.8	https://shopee.com.br/product/1409190218/21597981758	https://s.shopee.com.br/1VxqSCOyj6	https://down-bs-br.img.susercontent.com/br-11134207-820mg-mntbd8zk8su8d6.webp
23793604496	Garrafa de Água 1.8L Squeeze p/ Academia Cross Fit Escritório BPA Free com Garantia ENVIO EM 24HRS	R$ 25,59	817 vendas	24	4.8	https://shopee.com.br/product/1409190218/23793604496	https://s.shopee.com.br/80BKC9iMqH	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-me0s7e09xc017c.webp
22295607729	Coqueteleira Academia 600ml Transparente com Mola - Integralmédica - Shakeira	R$ 49,90	598 vendas	21	4.9	https://shopee.com.br/product/624435128/22295607729	https://s.shopee.com.br/30meEzMio3	https://down-bs-br.img.susercontent.com/br-11134207-7qukw-lgant1b9mgjqb1.webp
22597992319	Coqueteleira Shakeira Universal Amarela 600ml Academia Treino Musculação Shake Design Exclusiva	R$ 22,70	375 vendas	19	4.9	https://shopee.com.br/product/1053431316/22597992319	https://s.shopee.com.br/gOjSiDbM2	https://down-bs-br.img.susercontent.com/sg-11134201-7repp-m1r3qi4yivd4b7.webp
22797094830	2 Par Tala Straps 100% Algodão. P/musculação e Academia	R$ 21,00	10mil+ vendas	23	4.9	https://shopee.com.br/product/1068642439/22797094830	https://s.shopee.com.br/9zwOZsmbUe	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-lnk2d6bpsyxbe6.webp
23892622213	Kit 5x Pares Tala Strap 100% Algodão P/ Musculação Academia	R$ 49,50	749 vendas	26	4.9	https://shopee.com.br/product/1068642439/23892622213	https://s.shopee.com.br/W5JGR3fQF	https://down-bs-br.img.susercontent.com/br-11134207-820mb-mqme3vrfc2rkfa.webp
19899383758	Mochila Futebol Bag Hurley Sacola Chuteira Esportiva Academia Passeio Bolsa Reforçada	R$ 99,90	332 vendas	28	4.9	https://shopee.com.br/product/712742634/19899383758	https://s.shopee.com.br/9ANHaO5Szu	https://down-bs-br.img.susercontent.com/br-11134207-7r98o-m00i1xgi8m5h35.webp
9818945796	Pochete Esportiva Fitness Ajustável Saída Para Fone Academia Caminhada	R$ 14,99	536 vendas	23	4.9	https://shopee.com.br/product/386577692/9818945796	https://s.shopee.com.br/7prtzxFddo	https://down-bs-br.img.susercontent.com/cb391b8fcc68988bac4eaea0f1f051a4.webp
19097748178	Mala Mini Transversal Lateral Treino Fitness Academia Esportiva Necessaire Viagem Passeio Reforçada	R$ 78,90	423 vendas	21	4.9	https://shopee.com.br/product/1217749667/19097748178	https://s.shopee.com.br/4qEIQS9C7l	https://down-bs-br.img.susercontent.com/sg-11134201-7rd4f-lwn6mt2ae89p39.webp
9513910149	Garrafa De Água 1.8L Galão Squeeze Com Alça Academia Funcional Crossfit Esportes Livre De BPA	R$ 11,99	1mil+ vendas	23	4.8	https://shopee.com.br/product/331537974/9513910149	https://s.shopee.com.br/9V07z4pwWM	https://down-bs-br.img.susercontent.com/br-11134207-820me-ml7x1enbsfet99.webp
7788797905	Mochila Reforçada Cavalera Mao Costa Transversal Multiuso Viagem Esportes Original	R$ 159,90	1mil+ vendas	23	4.8	https://shopee.com.br/product/441234830/7788797905	https://s.shopee.com.br/7VF3bPX1oy	https://down-bs-br.img.susercontent.com/sg-11134201-22110-mgojc4y74rjv05.webp
58204851990	Conjunto Fitness Calça Legging Feminina Flare Bailarina e Blusinha SlimFit Justa Baby Tee Academia	R$ 46,99	135 vendas	43	4.6	https://shopee.com.br/product/1636494323/58204851990	https://s.shopee.com.br/3LPUdlmUCN	https://down-bs-br.img.susercontent.com/br-11134207-820lb-mn7jj5zhnnk0ee.webp
42325188027	Kit Par Caneleiras Peso 1kg + 2kg Tornozeleira de Peso Treino em Casa Funcional Academia Pilates	R$ 99,99	416 vendas	22	4.9	https://shopee.com.br/product/1459376727/42325188027	https://s.shopee.com.br/1gHGeiS1qy	https://down-bs-br.img.susercontent.com/br-11134207-81z1k-mg2a3drp4tmv4a.webp
